"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","9","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","7","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","8","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","7","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","8","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","5","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","5","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","7","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","6","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","8","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","5","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","14","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","6","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Wed Apr 26 13:25:26 GMT 2023","Wed Apr 26 13:25:26 GMT 2023","7","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","7","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Wed Apr 26 13:25:27 GMT 2023","Wed Apr 26 13:25:27 GMT 2023","10","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
